nom_me,cartodb_id,data,id,d1_011,d1_010,d1_009,d1_008,d1_007,d1_006,d1_043,d1_035,d1_024,d1_023,d1_017,d1_016,d1_012,d1_005,d1_004,d1_003,ba_001,d1_002,d1_001,ba_002,ins020,ins015,p1_001,p3_006,p3_005,p3_004,p3_003,p3_002,p13_208,p13_207,p13_206,p13_205,p13_204,p13_203,p13_202,p13_201,p13_039,p13_038,p13_037,p13_036,p13_035,p13_022,p12_001,p11_001,p3_001,cod_mu,cod_rm,cod_mi,cod_me,cod_uf,cod_gr,nom_mu,nom_rm,nom_mi,codap,nom_uf,nom_gr,ba_003,mt008,mt007,mt006,ren105,ren104,ren103,ren102,ren101,ren016,ren004,ren003,ren002,ins037,ins032,ins002,ins001,re050,re047,re046,re104,re103,re102,re038,re101,re036,re032,re031,re030,re029,re028,re027,de024,de023,de020,p3_205,p3_204,p3_203,p3_202,p3_201,t_env,p13_222,p13_221,p13_220,p13_219,p13_218,p13_217,p13_216,p13_215,p13_214,p13_213,p13_212,p13_211,p13_210,p13_209,area
METROPOLITANA DE SAO PAULO,17,200,578850,21,259,385,503,1288,2443,4890,4710,4866,1,2289,4898,3375,1285,65,3544,4899,4899,4904,17182,-999999,-999999,14945,12,5260,519,1324,9730,176,772,2006,5111,3546,1050,1354,1565,323,274,237,258,254,270,8780,8416,17196,3530607,20,35062,3515,35,3,MOGI DAS CRUZES,RM SAO PAULO,MOGI DAS CRUZES,3530607005010,SAO PAULO,REGIAO SUDESTE,3.51,90.39,59.12,9.61,-999.99,-999.99,3.19,32.23,29.68,32.54,4.14,1.18,2110.3,-999.99,-999.99,7.15,7.4,5.4,-999.99,-999.99,19.27,-999.99,7.5,28.25,-999.99,-999.99,-999.99,29.25,51.03,-999.99,-999.99,13.2,-999.99,12.07,8.34,0.07,30.59,3.02,7.7,56.58,5.51,1.02,4.49,11.67,29.72,20.62,6.11,7.87,9.1,1.88,1.59,1.38,1.5,1.48,1.57,55.862419
METROPOLITANA DE SAO PAULO,34,246,361245,183,252,52,1016,152,2869,4521,4524,4454,0,3711,4524,4402,79,59,4318,4524,4524,4554,14732,-999999,-999999,13443,1,3751,239,694,10097,291,1072,2382,4516,3122,636,841,922,172,164,157,168,177,162,7657,7125,14782,3543303,20,35061,3515,35,3,RIBEIRAO PIRES,RM SAO PAULO,SAO PAULO,3543303003000,SAO PAULO,REGIAO SUDESTE,3.26,91.81,59.8,8.19,-999.99,5.99,9.84,49.38,18.1,15.68,6.28,1.94,3204.1,-999.99,-999.99,7.57,8.48,5.08,-999.99,4.1,10.75,-999.99,4.01,15.44,-999.99,-999.99,-999.99,17.27,64.28,-999.99,-999.99,8.9,-999.99,20.45,9.38,0.01,25.38,1.62,4.69,68.31,9.22,1.97,7.25,16.11,30.55,21.12,4.3,5.69,6.24,1.16,1.11,1.06,1.14,1.2,1.1,18.012547
METROPOLITANA DE SAO PAULO,125,30,161311,784,1399,130,3178,1126,14452,21055,20805,20865,13,12539,21056,20011,532,1045,19316,21069,21069,21146,74916,1275,561,64354,88,27450,576,5329,36849,442,2217,8328,23239,16849,4219,5801,6608,1213,1286,1266,1175,1182,1174,38024,36975,74999,3510609,20,35057,3515,35,3,CARAPICUIBA,RM SAO PAULO,OSASCO,3510609005010,SAO PAULO,REGIAO SUDESTE,3.56,89.5,56.81,10.5,1.84,3.61,3.79,27.58,30.83,32.25,5.44,1.54,2773.88,23.66,5.07,6.57,7.01,3.02,-999.99,1.23,14.57,2.49,11.35,28.42,0.62,1.34,1.96,30.37,52.56,1.78,-999.99,10.41,4.83,27.45,11.02,0.12,36.6,0.77,7.11,49.13,3.55,0.59,2.96,11.1,30.99,22.47,5.63,7.73,8.81,1.62,1.71,1.69,1.57,1.58,1.57,14.826849
METROPOLITANA DE SAO PAULO,246,571,485633,35,192,9,974,1768,5365,8340,8340,8334,0,8251,8343,8332,7081,7,1247,8345,8345,8420,25751,-999999,-999999,23498,15,8032,162,2624,14914,236,1544,4605,7939,5351,1017,1441,1747,326,304,319,310,317,291,14046,11782,25828,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005260,SAO PAULO,REGIAO SUDESTE,3.09,89.44,63.73,10.56,-999.99,1.81,10.28,50.5,25.88,10.64,5.16,1.69,2631.55,-999.99,-999.99,8.09,8.47,5.03,-999.99,4.74,14.62,-999.99,7.14,22.46,-999.99,-999.99,2.09,24.56,55.52,-999.99,-999.99,8.77,-999.99,20.62,5.77,0.06,31.1,0.63,10.16,57.74,6.89,0.91,5.98,17.83,30.74,20.72,3.94,5.58,6.76,1.26,1.18,1.24,1.2,1.23,1.13,1.104388
METROPOLITANA DE SAO PAULO,302,499,449550,56,481,96,3485,496,9606,14205,14079,14049,1,10124,14219,13394,51,48,13961,14234,14234,14430,50805,800,-999999,44092,39,20477,539,3231,26702,321,1530,5498,16142,11365,2799,4024,4483,855,794,839,818,769,759,26145,24896,51041,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005190,SAO PAULO,REGIAO SUDESTE,3.57,92.79,61.43,7.21,-999.99,1.65,2.64,33.26,33.75,28.28,3.8,1.08,1939.92,24.02,-999.99,6.64,6.57,4.27,-999.99,2.56,16.14,1.34,3.89,21.37,-999.99,-999.99,1.49,22.86,59.58,0.93,-999.99,9.42,7.08,30.94,9.07,0.08,40.12,1.06,6.33,52.31,3.63,0.63,3,10.77,31.63,22.27,5.48,7.88,8.78,1.68,1.56,1.64,1.6,1.51,1.49,45.67477
METROPOLITANA DE SAO PAULO,319,23,181430,137,675,292,929,250,4050,6298,6213,6076,17,3390,6316,4916,229,108,5883,6415,6415,6423,21603,-999999,-999999,18235,8,8988,127,1249,10966,166,957,2422,6314,4735,1215,1632,1819,375,347,335,329,359,333,10750,10876,21626,3509205,20,35057,3515,35,3,CAJAMAR,RM SAO PAULO,OSASCO,3509205003000,SAO PAULO,REGIAO SUDESTE,3.37,90.4,55.03,9.6,-999.99,-999.99,3.71,32.04,29.27,33.79,3.53,1.05,1802.04,-999.99,-999.99,6.15,6.04,3.5,-999.99,-999.99,19.98,-999.99,12.48,34.01,-999.99,-999.99,2.34,36.35,49.43,-999.99,-999.99,7.79,5.74,24.45,10.7,0.04,41.56,0.59,5.78,50.71,5.19,0.77,4.43,11.2,29.2,21.89,5.62,7.55,8.41,1.73,1.6,1.55,1.52,1.66,1.54,115.149277
METROPOLITANA DE SAO PAULO,323,97,251537,45,507,42,1359,166,7121,9225,9220,9126,4,7887,9236,9180,9,27,9100,9240,9240,14154,31318,-999999,-999999,31596,24,13096,165,2510,20196,386,1627,4787,10931,9541,1692,2179,2447,441,440,439,431,447,445,17293,18940,36233,3516408,20,35058,3515,35,3,FRANCO DA ROCHA,RM SAO PAULO,FRANCO DA ROCHA,3516408003010,SAO PAULO,REGIAO SUDESTE,3.39,90.04,50.83,9.96,-999.99,1.6,5.11,34.75,24.81,19.99,2.95,1.34,1506.31,-999.99,-999.99,6.64,6.75,4.47,-999.99,1.83,12.96,-999.99,6.76,20.71,-999.99,-999.99,-999.99,21.91,52.63,-999.99,-999.99,12.49,1.72,17.93,8.79,0.07,36.14,0.46,6.93,55.74,5.56,1.07,4.49,13.21,30.17,26.33,4.67,6.01,6.75,1.22,1.21,1.21,1.19,1.23,1.23,32.556625
METROPOLITANA DE SAO PAULO,334,219,200689,215,816,31,2284,325,7446,11109,10418,10533,4,5033,11113,10069,258,4,10284,11550,11550,11559,39948,630,-999999,34059,25,17308,230,2729,17029,219,1232,4152,11622,8905,2089,3032,3382,628,679,620,566,623,654,20196,19804,40000,3534401,20,35057,3515,35,3,OSASCO,RM SAO PAULO,OSASCO,3534401005000,SAO PAULO,REGIAO SUDESTE,3.46,87.62,58.11,12.38,-999.99,-999.99,1.56,31.24,32.17,34.31,3.29,0.95,1679.56,25.17,-999.99,5.7,6.2,1.82,-999.99,2.44,12.98,2.24,13.05,28.27,-999.99,-999.99,1.15,29.42,52.98,-999.99,-999.99,11.67,5.24,28.74,9.69,0.06,43.27,0.57,6.82,42.57,3.63,0.55,3.08,10.38,29.05,22.26,5.22,7.58,8.46,1.57,1.7,1.55,1.42,1.56,1.64,11.123736
METROPOLITANA DE SAO PAULO,375,412,126316,79,304,240,2067,1505,11238,15432,15417,15021,6,14665,15427,15313,8310,412,6312,15448,15448,15677,46706,-999999,-999999,42910,403,7284,1173,1884,36162,1115,3886,7811,15120,8716,1753,2491,2880,552,524,533,465,553,507,25178,21779,46957,3550308,20,35061,3515,35,3,SAO PAULO,RM SAO PAULO,SAO PAULO,3550308005100,SAO PAULO,REGIAO SUDESTE,3.02,95.49,62.99,4.51,32.51,19.11,7.09,14.53,9.38,16.89,35.03,12.44,17864.7,-999.99,-999.99,11.22,12.14,5.84,-999.99,5.69,3.98,1.5,1.75,7.22,-999.99,-999.99,1,8.22,69.09,-999.99,-999.99,9.53,4.75,24.35,9,0.86,15.51,2.5,4.01,77.01,10.65,2.37,8.28,16.63,32.2,18.56,3.73,5.3,6.13,1.18,1.12,1.14,0.99,1.18,1.08,11.48246
METROPOLITANA DE SAO PAULO,6,201,592432,114,505,615,587,344,3888,6030,5697,6011,10,251,6043,2591,45,869,5133,6058,6058,6598,21369,-999999,-999999,18427,10,7798,415,1431,12133,158,837,2629,6484,4403,1302,1892,2085,399,364,359,342,321,320,10542,11370,21912,3530607,20,35062,3515,35,3,MOGI DAS CRUZES,RM SAO PAULO,MOGI DAS CRUZES,3530607005010,SAO PAULO,REGIAO SUDESTE,3.53,90.71,56.56,9.29,3.03,6.68,7.58,20.62,28.43,31.23,7.39,2.28,3771.29,-999.99,-999.99,7,7.23,2.77,-999.99,3.24,15.94,-999.99,14.23,31.22,-999.99,-999.99,-999.99,33.02,49.02,-999.99,-999.99,10.77,-999.99,25.27,18.81,0.05,35.59,1.89,6.53,55.37,4.54,0.72,3.82,12,29.59,20.09,5.94,8.63,9.52,1.82,1.66,1.64,1.56,1.46,1.46,152.092819
